bola_x,bola_y,centro_paddle,resultado
400,300,300,P
400,150,300,S
400,450,300,D
652,43,255,S
731,40,136,S
674,20,220,S
693,2,192,S
647,48,261,S
670,24,227,S
763,73,113,S
690,5,197,S
700,9,182,S
623,73,298,S
701,9,181,S
733,43,132,S
629,66,288,S
710,19,167,S
709,18,169,S
734,44,130,S
752,62,115,P
627,69,291,S
615,81,300,P
639,56,273,S
619,77,300,P
639,57,274,S
761,71,115,P
598,98,300,P
666,29,233,S
704,12,177,S
740,49,123,S
642,53,269,S
618,77,300,P
697,5,187,S
758,68,115,P
646,49,262,S
678,16,215,S
608,87,300,P
714,23,161,S
662,33,74,P
729,38,67,P
444,255,317,S
681,14,53,P
481,218,262,S
774,84,95,P
601,95,101,P
692,2,53,P
659,36,74,P
530,167,188,S
738,48,67,P
768,78,94,D
609,86,101,P
739,49,67,P
546,151,165,S
620,75,101,P
557,140,148,S
468,230,281,S
758,68,82,P
678,17,56,S
482,216,260,S
664,30,74,P
635,60,87,S
704,13,53,P
740,49,67,P
671,24,66,S
505,193,226,S
596,100,101,P
472,226,275,S
608,87,101,P
722,32,62,D
443,256,319,S
429,271,340,S
448,251,311,S
615,81,101,P
530,168,189,S
605,91,101,P
602,94,101,P
650,45,74,P
410,290,341,P
769,79,95,D
611,84,101,P
740,50,67,P
756,66,82,P
685,9,53,P
719,29,57,D
712,21,53,P
691,4,53,P
637,58,84,S
680,15,53,S
459,240,295,S
513,185,215,S
509,189,220,S
720,29,58,D
473,225,274,S
510,187,218,S
728,37,67,P
535,163,181,S
437,262,327,S
752,62,82,P
623,72,101,P
526,172,195,S
616,80,101,P
532,165,185,S
621,75,101,P
687,8,53,P
702,11,53,P
546,151,164,S
502,196,230,S
707,16,53,P
568,129,131,S
542,155,170,S
577,119,118,S
720,30,58,D
439,342,325,P
413,316,325,P
568,473,402,D
604,508,445,D
534,438,361,D
671,577,512,P
713,577,512,P
436,339,325,P
737,552,512,P
746,544,512,P
702,587,512,P
714,576,512,P
503,407,325,P
597,501,436,D
572,476,406,D
574,479,409,D
402,305,325,P
636,541,483,D
583,488,420,D
720,570,512,P
555,459,386,D
729,560,512,P
766,523,512,P
611,516,454,D
668,574,512,P
724,565,512,P
535,440,362,D
684,590,512,P
529,433,354,D
641,546,490,D
574,478,409,D
542,446,370,D
614,519,458,D
731,558,512,P
400,303,325,P
598,503,438,D
539,443,366,D
522,426,345,D
511,415,333,D
621,525,465,D
651,556,503,D
419,322,325,P
612,517,455,D
732,557,512,P
497,401,325,P
549,454,379,D
581,485,417,D
759,530,512,P
704,586,512,P
633,538,480,D
676,582,512,P
573,478,408,D
552,456,382,D
480,383,325,P
614,519,446,D
502,406,388,D
504,408,391,D
659,565,460,D
721,568,477,D
468,372,347,D
746,543,505,P
612,516,443,D
698,592,471,P
515,419,405,D
466,369,344,D
641,546,454,P
424,327,313,D
583,488,421,P
451,355,327,D
425,329,314,P
765,524,509,D
487,391,370,D
583,487,421,P
722,568,478,D
471,375,351,D
615,520,446,D
745,545,505,D
402,305,286,D
648,553,454,P
492,395,375,D
733,556,491,D
718,572,472,D
502,405,388,D
493,397,377,D
446,350,321,D
575,480,421,P
425,328,314,D
600,504,428,D
628,533,454,P
567,471,421,P
741,548,501,D
573,477,421,P
479,382,360,D
775,514,521,D
553,457,421,P
754,535,505,P
545,449,421,P
496,400,381,D
616,520,447,D
558,463,421,P
760,530,505,P
634,539,454,P
456,359,332,D
750,539,505,P
599,504,427,D
717,573,471,D
734,556,492,D
758,531,505,P
462,365,339,D
678,584,471,P
586,491,421,P
750,540,505,P
637,543,454,P
500,404,385,D
462,366,264,D
414,317,223,D
618,523,390,D
419,322,229,D
752,537,505,P
775,514,505,P
447,350,254,P
766,523,505,P
424,327,236,D
483,387,290,D
418,321,228,D
479,383,284,D
672,578,431,D
660,566,416,D
669,575,427,D
502,406,312,D
710,579,459,P
550,454,369,P
433,336,246,D
495,398,303,D
657,562,412,P
416,319,226,D
554,459,369,P
556,461,369,P
545,449,364,D
522,426,337,D
421,324,232,D
653,558,412,P
633,538,408,D
754,535,505,P
541,445,360,D
644,549,412,P
503,407,313,D
529,433,345,D
553,458,369,P
507,411,319,D
448,352,254,P
578,483,369,P
469,372,272,D
456,360,257,D
749,540,502,D
601,505,369,P
765,525,505,P
524,428,339,D
465,369,267,D
712,578,459,P
617,522,389,D
400,303,210,P
641,547,412,P
482,385,287,D
563,468,369,P
483,386,289,D
452,356,254,P
503,407,314,D
554,458,369,P
651,557,412,P
489,393,297,D
606,511,376,D
595,500,369,P
759,25,94,S
533,180,376,S
720,12,142,S
573,145,327,S
437,267,497,S
400,300,543,P
654,71,224,S
493,216,426,S
623,100,264,S
431,272,504,S
549,166,356,S
531,182,379,S
722,10,139,S
501,209,417,S
649,76,231,S
586,133,310,S
623,99,263,S
434,270,501,S
660,66,217,S
700,30,167,S
657,69,221,S
701,29,166,S
680,48,192,S
565,151,336,S
603,117,288,S
676,52,197,S
757,23,96,S
531,182,378,S
550,165,356,S
409,292,532,S
780,44,68,S
651,74,228,S
768,34,82,S
618,104,270,S
490,219,430,S
622,100,265,S
573,144,326,S
525,188,387,S
731,2,129,S
637,87,247,S
641,84,242,S
568,149,333,S
739,8,119,S
636,88,247,S
635,89,249,S
713,18,151,S
652,73,228,S
464,242,462,S
567,150,334,S
404,297,538,S
612,109,278,S
462,244,465,S
403,298,540,S
740,9,117,S
749,16,106,S
512,199,403,S
589,130,307,S
625,98,262,S
759,26,93,S
478,230,446,S
428,275,508,S
665,62,211,S
464,362,312,D
493,388,348,D
729,589,536,P
537,430,403,D
567,457,430,P
505,399,363,D
742,577,550,D
545,436,413,D
454,352,299,D
720,598,536,P
724,594,536,P
470,367,320,D
575,464,434,D
562,452,430,P
543,435,410,D
649,533,498,P
478,374,329,D
443,343,286,D
491,387,346,D
499,394,356,D
546,438,414,D
656,539,498,P
689,570,517,P
767,554,553,P
419,321,280,P
609,496,462,P
732,586,538,D
557,447,427,D
411,313,280,P
691,571,517,P
542,434,410,D
657,540,498,P
648,531,498,P
693,573,517,P
709,588,529,D
414,316,280,P
445,345,289,D
418,319,280,P
428,329,280,P
663,545,498,P
440,339,282,D
586,474,448,D
481,378,333,D
717,595,536,P
699,579,517,P
452,350,297,D
505,400,363,D
706,585,525,D
686,566,517,P
436,336,280,P
434,334,280,P
541,433,408,D
443,342,286,D
583,472,445,D
495,391,351,D
518,412,379,D
754,566,553,P
527,420,390,D
749,571,553,P
597,484,462,D
771,550,539,S
727,591,572,P
577,466,404,D
762,559,551,S
600,487,432,D
650,533,494,D
514,408,326,D
535,427,351,D
692,572,547,D
625,510,464,D
537,429,354,D
570,459,395,D
562,453,386,D
415,317,202,D
752,568,563,S
706,585,564,D
567,457,392,D
492,388,298,D
739,580,572,P
419,321,208,D
763,558,549,S
634,518,474,D
642,526,485,D
683,564,536,D
470,367,270,D
777,545,537,P
453,352,250,D
426,327,216,D
442,341,236,D
508,402,318,D
772,550,538,S
685,566,539,D
712,591,572,D
599,486,432,D
637,522,479,D
461,359,260,D
569,459,394,D
617,503,454,D
662,544,509,D
592,480,422,D
448,347,243,D
599,486,431,D
738,581,572,P
582,471,411,D
737,582,572,P
541,433,360,D
735,584,572,P
759,561,554,S
545,437,364,D
432,332,223,D
458,357,256,D
445,344,240,D
668,550,517,D
540,432,358,D
539,431,357,D
456,355,254,D
607,493,441,D
575,464,401,D
731,587,572,P
685,565,538,D
697,576,510,P
533,425,350,D
726,592,535,P
718,596,528,D
399,302,198,D
691,571,510,P
682,563,510,P
767,554,549,P
518,412,332,D
482,378,287,D
750,570,543,D
670,551,510,P
641,525,485,D
548,439,369,D
421,323,218,P
689,569,510,P
669,551,510,P
448,347,245,D
618,504,456,D
563,453,388,D
637,521,480,D
578,467,407,D
598,486,432,D
412,314,215,D
405,308,206,D
630,515,472,D
604,491,439,D
460,359,261,D
551,442,374,D
528,421,345,D
529,422,346,D
494,389,302,D
660,542,509,D
764,557,549,P
405,307,205,D
438,338,233,D
692,572,510,P
655,538,503,D
499,394,309,D
433,334,227,D
466,363,267,D
774,548,549,P
424,325,218,P
481,378,287,D
628,513,469,D
449,348,246,D
549,440,371,D
531,424,349,D
727,591,535,P
678,559,510,P
626,511,466,D
685,566,510,P
462,360,263,D
521,414,336,D
498,393,307,D
513,407,326,D
487,383,293,D
412,314,214,D
645,529,491,D
706,585,513,D
460,361,202,D
664,561,454,D
725,574,516,P
756,545,526,D
620,518,400,D
537,437,298,D
690,586,486,D
573,472,342,D
513,413,268,D
429,331,163,D
518,418,274,D
643,540,428,D
454,356,195,D
767,534,530,P
578,477,348,D
743,557,516,P
540,440,301,D
701,598,501,D
587,485,359,D
704,595,504,D
622,520,402,D
616,515,396,D
467,368,211,D
645,543,431,D
604,502,380,D
479,380,225,D
633,531,416,D
443,345,181,D
448,350,187,D
444,346,183,D
682,579,477,D
561,461,328,D
544,444,306,D
668,565,459,D
711,589,512,D
581,480,351,D
522,422,279,D
474,375,220,D
465,367,209,D
703,596,502,D
582,481,353,D
595,494,369,D
660,557,450,D
728,571,516,P
713,586,515,D
612,510,390,D
462,364,205,D
437,339,174,D
435,337,171,D
634,532,417,D
504,405,257,D
480,381,227,D
556,456,321,D
550,450,314,D
689,586,485,D
617,515,397,D
707,592,542,P
773,528,525,P
772,529,525,P
693,590,542,P
429,331,279,D
742,558,542,P
567,466,435,D
432,335,282,P
526,426,384,D
748,553,542,P
683,580,535,D
632,530,515,D
650,547,523,P
456,358,298,D
479,380,326,D
448,350,288,D
662,559,523,P
590,489,464,D
772,529,525,P
729,571,542,P
657,554,523,P
430,332,279,D
746,554,542,P
726,574,542,P
727,573,542,P
428,331,278,D
597,496,473,D
759,541,537,S
480,381,327,D
689,585,542,D
545,445,408,D
668,565,523,P
761,539,534,S
500,401,353,D
700,597,542,P
421,323,268,D
619,517,500,D
470,372,315,D
426,329,275,D
629,527,512,D
458,359,300,D
593,492,468,D
539,439,400,D
557,457,423,D
623,521,504,D
738,562,542,P
513,414,369,D
627,525,509,D
667,564,523,P
604,503,482,D
488,389,338,D
551,451,415,D
518,419,375,D
777,524,525,P
445,347,284,D
531,431,391,D
466,368,327,D
691,588,509,P
595,493,481,P
574,473,460,D
590,489,480,D
507,408,377,D
461,363,321,D
449,351,305,D
568,467,452,D
482,384,347,D
479,381,343,D
433,336,297,D
626,524,492,P
657,554,497,D
428,330,290,D
532,432,408,D
601,500,481,P
561,460,443,D
464,365,324,D
745,555,513,D
434,336,298,D
760,540,533,D
774,527,533,P
748,552,518,D
728,572,509,P
777,524,533,P
734,566,509,P
746,553,515,D
617,515,490,D
710,589,509,P
668,565,509,P
489,390,355,D
666,563,508,D
763,537,533,P
714,585,509,P
516,417,388,D
527,428,402,D
